TABLE_NAME,COLUMN_NAME,PERSONAL_DATA
BUILDING_ALBUQU,APPLICATIONPERMITNUMBER,0
BUILDING_ALBUQU,BLOCK,0
BUILDING_ALBUQU,COMMERCIALORRESIDENTIAL,0
BUILDING_ALBUQU,CONTRACTORNAME,1
BUILDING_ALBUQU,ISSUEDATE,0
BUILDING_ALBUQU,LOT,0
BUILDING_ALBUQU,NUMBEROFUNITS,0
BUILDING_ALBUQU,OWNERNAME,1
BUILDING_ALBUQU,PLANCHECKVALUATION,0
BUILDING_ALBUQU,SITENUMBER,1
BUILDING_ALBUQU,SITESTREET,1
BUILDING_ALBUQU,SITESTREETDIRECTIONAL,1
BUILDING_ALBUQU,SITESTREETTYPE,1
BUILDING_ALBUQU,SITEZIP,1
BUILDING_ALBUQU,SUBDIVISION,0
BUILDING_ALBUQU,TOTALSQUAREFEET,0
BUILDING_ALBUQU,TYPEOFWORK,0
BUILDING_AUSTIN,APPLICANT_ADDRESS_1,1
BUILDING_AUSTIN,APPLICANT_ADDRESS_2,1
BUILDING_AUSTIN,APPLICANT_CITY,0
BUILDING_AUSTIN,APPLICANT_FULL_NAME,1
BUILDING_AUSTIN,APPLICANT_ORGANIZATION,0
BUILDING_AUSTIN,APPLICANT_PHONE,1
BUILDING_AUSTIN,APPLICANT_ZIP,1
BUILDING_AUSTIN,APPLIED_DATE,0
BUILDING_AUSTIN,BUILDING_VALUATION,0
BUILDING_AUSTIN,BUILDING_VALUATION_REMODEL,0
BUILDING_AUSTIN,CALENDAR_YEAR_ISSUED,0
BUILDING_AUSTIN,CERTIFICATE_OF_OCCUPANCY,0
BUILDING_AUSTIN,COMPLETED_DATE,0
BUILDING_AUSTIN,CONDOMINIUM,0
BUILDING_AUSTIN,CONTRACTOR_ADDRESS_1,1
BUILDING_AUSTIN,CONTRACTOR_ADDRESS_2,1
BUILDING_AUSTIN,CONTRACTOR_CITY,0
BUILDING_AUSTIN,CONTRACTOR_COMPANY_NAME,0
BUILDING_AUSTIN,CONTRACTOR_FULL_NAME,1
BUILDING_AUSTIN,CONTRACTOR_PHONE,1
BUILDING_AUSTIN,CONTRACTOR_TRADE,0
BUILDING_AUSTIN,CONTRACTOR_ZIP,1
BUILDING_AUSTIN,COUNCIL_DISTRICT,0
BUILDING_AUSTIN,DAY_ISSUED,0
BUILDING_AUSTIN,DESCRIPTION,0
BUILDING_AUSTIN,ELECTRICAL_VALUATION,0
BUILDING_AUSTIN,ELECTRICAL_VALUATION_REMODEL,0
BUILDING_AUSTIN,EXPIRES_DATE,0
BUILDING_AUSTIN,FISCAL_YEAR_ISSUED,0
BUILDING_AUSTIN,HOUSING_UNITS,0
BUILDING_AUSTIN,ISSUANCE_METHOD,0
BUILDING_AUSTIN,ISSUED_DATE,0
BUILDING_AUSTIN,ISSUED_IN_LAST_30_DAYS,0
BUILDING_AUSTIN,JURISDICTION,0
BUILDING_AUSTIN,LATITUDE,0
BUILDING_AUSTIN,LINK,0
BUILDING_AUSTIN,LOCATION,0
