TABLE_NAME,COLUMN_NAME,PERSONAL_DATA
CAMPAIGN_NYC,ADJTYPECD,0
CAMPAIGN_NYC,AMNT,0
CAMPAIGN_NYC,APARTMENT,0
CAMPAIGN_NYC,BBL,0
CAMPAIGN_NYC,BIN,0
CAMPAIGN_NYC,BOROUGHCD,0
CAMPAIGN_NYC,C_CODE,0
CAMPAIGN_NYC,CANCLASS,0
CAMPAIGN_NYC,CANDFIRST,1
CAMPAIGN_NYC,CANDID,0
CAMPAIGN_NYC,CANDLAST,1
CAMPAIGN_NYC,CANDMI,0
CAMPAIGN_NYC,CENSUS_TRACT,0
CAMPAIGN_NYC,CITY,0
CAMPAIGN_NYC,COMMITTEE,0
CAMPAIGN_NYC,COMMUNITY_BOARD,0
CAMPAIGN_NYC,COUNCIL_DISTRICT,0
CAMPAIGN_NYC,DATE1,0
CAMPAIGN_NYC,ELECTION,0
CAMPAIGN_NYC,EMPCITY,0
CAMPAIGN_NYC,EMPNAME,0
CAMPAIGN_NYC,EMPSTATE,0
CAMPAIGN_NYC,EMPSTRNAME,0
CAMPAIGN_NYC,EMPSTRNO,0
CAMPAIGN_NYC,EXEMPTCD,0
CAMPAIGN_NYC,FILING,0
CAMPAIGN_NYC,INT_C_CODE,0
CAMPAIGN_NYC,INTAPTNO,0
CAMPAIGN_NYC,INTCITY,0
CAMPAIGN_NYC,INTEMPCITY,0
CAMPAIGN_NYC,INTEMPNAME,0
CAMPAIGN_NYC,INTEMPST,0
CAMPAIGN_NYC,INTEMPSTNM,0
CAMPAIGN_NYC,INTEMPSTNO,0
CAMPAIGN_NYC,INTERMNAME,1
CAMPAIGN_NYC,INTERMNO,0
CAMPAIGN_NYC,INTOCCUPA,0
CAMPAIGN_NYC,INTST,0
CAMPAIGN_NYC,INTSTRNM,1
CAMPAIGN_NYC,INTSTRNO,1
CAMPAIGN_NYC,INTZIP,1
CAMPAIGN_NYC,LATITUDE,0
CAMPAIGN_NYC,LONGITUDE,0
CAMPAIGN_NYC,MATCHAMNT,0
CAMPAIGN_NYC,NAME1,0
CAMPAIGN_NYC,NTA,0
CAMPAIGN_NYC,OCCUPATION,0
CAMPAIGN_NYC,OFFICECD,0
CAMPAIGN_NYC,PAGENO,0
CAMPAIGN_NYC,PAY_METHOD,0
CAMPAIGN_NYC,POSTCODE,0
CAMPAIGN_NYC,PREVAMNT,0
CAMPAIGN_NYC,PURPOSECD,0
CAMPAIGN_NYC,REFNO,0
CAMPAIGN_NYC,REFUNDDATE,0
CAMPAIGN_NYC,RR_IND,0
CAMPAIGN_NYC,SCHEDULE,0
CAMPAIGN_NYC,SEG_IND,0
CAMPAIGN_NYC,SEQUENCENO,0
CAMPAIGN_NYC,STATE,0
CAMPAIGN_NYC,STRNAME,1
CAMPAIGN_NYC,STRNO,1
CAMPAIGN_DC,ADDRESS,1
CAMPAIGN_DC,ADDRESS_ID,0
CAMPAIGN_DC,AMOUNT,0
CAMPAIGN_DC,CANDIDATENAME,1
CAMPAIGN_DC,COMMITTEENAME,0
CAMPAIGN_DC,CONTRIBUTIONTYPE,0
CAMPAIGN_DC,CONTRIBUTORNAME,1
CAMPAIGN_DC,CONTRIBUTORTYPE,0
CAMPAIGN_DC,DATEOFRECEIPT,0
CAMPAIGN_DC,ELECTIONYEAR,0
CAMPAIGN_DC,EMPLOYER,0
CAMPAIGN_DC,EMPLOYERADDRESS,0
CAMPAIGN_DC,FULLADDRESS,1
CAMPAIGN_DC,GIS_LAST_MOD_DTTM,0
CAMPAIGN_DC,LATITUDE,0
CAMPAIGN_DC,LONGITUDE,0
CAMPAIGN_DC,OBJECTID,0
CAMPAIGN_DC,WARD,0
CAMPAIGN_DC,XCOORD,0
CAMPAIGN_DC,YCOORD,0
CAMPAIGN_AUSTIN,AMOUNT_GUARANTEED,0
CAMPAIGN_AUSTIN,BORROWER,1
CAMPAIGN_AUSTIN,CITY_STATE_ZIP,1
CAMPAIGN_AUSTIN,COLLATERAL,0
CAMPAIGN_AUSTIN,CORRECTION,0
CAMPAIGN_AUSTIN,DATE_REPORTED,0
CAMPAIGN_AUSTIN,FINANCIAL_INSTITUTION,0
CAMPAIGN_AUSTIN,GUARANTOR,1
CAMPAIGN_AUSTIN,GUARANTOR_ADDRESS,1
CAMPAIGN_AUSTIN,GUARANTOR_CITY_STATE_ZIP,1
CAMPAIGN_AUSTIN,GUARANTOR_EMPLOYER,0
CAMPAIGN_AUSTIN,GUARANTOR_OCCUPATION,0
CAMPAIGN_AUSTIN,INTEREST_RATE,0
CAMPAIGN_AUSTIN,LENDER,1
CAMPAIGN_AUSTIN,LENDER_ADDRESS,1
CAMPAIGN_AUSTIN,LENDER_LOCATION_ADDRESS,1
CAMPAIGN_AUSTIN,LENDER_LOCATION_CITY,1
CAMPAIGN_AUSTIN,LENDER_LOCATION_STATE,0
CAMPAIGN_AUSTIN,LENDER_LOCATION_ZIP,1
CAMPAIGN_AUSTIN,LENDER_REPORTED_EMPLOYER,0
CAMPAIGN_AUSTIN,LENDER_REPORTED_OCCUPATION,0
CAMPAIGN_AUSTIN,LENDER_TYPE,0
CAMPAIGN_AUSTIN,LOAN_AMOUNT,0
CAMPAIGN_AUSTIN,LOAN_DATE,0
CAMPAIGN_AUSTIN,LOAN_YEAR,0
CAMPAIGN_AUSTIN,MATURITY_DATE,0
CAMPAIGN_AUSTIN,PERSONAL_FUNDS,0
CAMPAIGN_AUSTIN,REPORT_FILED,0
CAMPAIGN_AUSTIN,TRANSACTION_ID,0
CAMPAIGN_AUSTIN,VIEW_REPORT,0
CAMPAIGN_SF1,BAKREF_TID,0
CAMPAIGN_SF1,BAL_JURIS,0
CAMPAIGN_SF1,BAL_NAME,0
CAMPAIGN_SF1,BAL_NUM,0
CAMPAIGN_SF1,CAND_NAMF,0
CAMPAIGN_SF1,CAND_NAML,0
CAMPAIGN_SF1,CAND_NAMS,0
CAMPAIGN_SF1,CAND_NAMT,0
CAMPAIGN_SF1,CMTE_ID,0
CAMPAIGN_SF1,COMMITTEE_TYPE,0
CAMPAIGN_SF1,DIST_NO,0
CAMPAIGN_SF1,ELECT_DATE,0
CAMPAIGN_SF1,ENTITY_CD,0
CAMPAIGN_SF1,FILER_ID,1
CAMPAIGN_SF1,FILER_NAML,1
CAMPAIGN_SF1,FORM_TYPE,0
CAMPAIGN_SF1,FROM_DATE,0
CAMPAIGN_SF1,INT_CMTEID,0
CAMPAIGN_SF1,INTR_ADR1,0
CAMPAIGN_SF1,INTR_ADR2,0
CAMPAIGN_SF1,INTR_CITY,0
CAMPAIGN_SF1,INTR_EMP,0
CAMPAIGN_SF1,INTR_LOCATION,0
CAMPAIGN_SF1,INTR_NAMF,0
CAMPAIGN_SF1,INTR_NAML,0
CAMPAIGN_SF1,INTR_NAMS,0
CAMPAIGN_SF1,INTR_NAMT,0
CAMPAIGN_SF1,INTR_OCC,0
CAMPAIGN_SF1,INTR_SELF,0
CAMPAIGN_SF1,INTR_STATE,0
CAMPAIGN_SF1,INTR_ZIP4,1
CAMPAIGN_SF1,JURIS_CD,0
CAMPAIGN_SF1,JURIS_DSCR,0
